Location,Cleaned_Location,Coordinates
"2128 W ATKINSON AV,MKE","2128 W ATKINSAV, MILWAUKEE, WI","{'lat': 43.091956, 'lng': -87.938719}"
"10227 W KIEHNAU AV,MKE","10227 W KIEHNAU AV, MILWAUKEE, WI","{'lat': 43.136048, 'lng': -88.040099}"
"600 S WATER ST,MKE","600 S WATER ST, MILWAUKEE, WI","{'lat': 43.024979, 'lng': -87.90409}"
"S 19TH ST / W BECHER ST,MKE","S 19TH ST & W BECHER ST, MILWAUKEE, WI","{'lat': 43.006606, 'lng': -87.936785}"
"S 14TH ST / W GRANT ST,MKE","S 14TH ST & W GRANT ST, MILWAUKEE, WI","{'lat': 43.004666, 'lng': -87.92976}"
"1904 W ROGERS ST,MKE","1904 W ROGERS ST, MILWAUKEE, WI","{'lat': 43.008673, 'lng': -87.936918}"
"4040 N 45TH ST,MKE","4040 N 45TH ST, MILWAUKEE, WI","{'lat': 43.090795, 'lng': -87.969478}"
"5145 N 60TH ST,MKE","5145 N 60TH ST, MILWAUKEE, WI","{'lat': 43.111198, 'lng': -87.986508}"
"5745 N 72ND ST,MKE","5745 N 72ND ST, MILWAUKEE, WI","{'lat': 43.12239, 'lng': -88.001237}"
"335 E EUCLID AV,MKE","335 E EUCLID AV, MILWAUKEE, WI","{'lat': 42.986344, 'lng': -87.905371}"
"N 74TH ST / W VILLARD AV,MKE","N 74TH ST & W VILLARD AV, MILWAUKEE, WI","{'lat': 43.112217, 'lng': -88.003529}"
"N 13TH ST / W COLUMBIA ST,MKE","N 13TH ST & W COLUMBIA ST, MILWAUKEE, WI","{'lat': 43.074073, 'lng': -87.927488}"
"3317 N 13TH ST,MKE","3317 N 13TH ST, MILWAUKEE, WI","{'lat': 43.079418, 'lng': -87.927623}"
"2330 N PROSPECT AV,MKE","2330 N PROSPECT AV, MILWAUKEE, WI","{'lat': 43.06162, 'lng': -87.881261}"
"1700 S 12TH ST,MKE","1700 S 12TH ST, MILWAUKEE, WI","{'lat': 43.012438, 'lng': -87.926926}"
"2319 W MICHIGAN ST,MKE","2319 W MICHIGAN ST, MILWAUKEE, WI","{'lat': 43.037124, 'lng': -87.942027}"
"3515 N 47TH ST,MKE","3515 N 47TH ST, MILWAUKEE, WI","{'lat': 43.082893, 'lng': -87.972765}"
"N 12TH ST / W LOCUST ST,MKE","N 12TH ST & W LOCUST ST, MILWAUKEE, WI","{'lat': 43.071225, 'lng': -87.926757}"
"1419 S 3RD ST,MKE","1419 S 3RD ST, MILWAUKEE, WI","{'lat': 43.016564, 'lng': -87.914332}"
"N 30TH ST / W COURTLAND AV,MKE","N 30TH ST & W COURTLAND AV, MILWAUKEE, WI","{'lat': 43.102505, 'lng': -87.950417}"
"3602 W WHEELHOUSE RD,MKE","3602 W WHEELHOUSE RD, MILWAUKEE, WI","{'lat': 43.03029, 'lng': -87.959558}"
"7910 W VAN BECK AV,MKE","7910 W VAN BECK AV, MILWAUKEE, WI","{'lat': 42.973059, 'lng': -88.011962}"
"3125 S 24TH ST,MKE","3125 S 24TH ST, MILWAUKEE, WI","{'lat': 42.987815, 'lng': -87.944816}"
"2453 N 41ST ST,MKE","2453 N 41ST ST, MILWAUKEE, WI","{'lat': 43.063556, 'lng': -87.964842}"
"710 N OLD WORLD THIRD ST,MKE","710 N OLD WORLD THIRD ST, MILWAUKEE, WI","{'lat': 43.039019, 'lng': -87.914106}"
"3417 S 32ND ST,MKE","3417 S 32ND ST, MILWAUKEE, WI","{'lat': 42.983189, 'lng': -87.954773}"
"3711 N 48TH ST,MKE","3711 N 48TH ST, MILWAUKEE, WI","{'lat': 43.084641, 'lng': -87.973852}"
"E HOWARD AV / S HOWELL AV,MKE","E HOWARD AVE & S HOWELL AV, MILWAUKEE, WI","{'lat': 42.973762, 'lng': -87.909529}"
"820 S 21ST ST,MKE","820 S 21ST ST, MILWAUKEE, WI","{'lat': 43.022088, 'lng': -87.938956}"
"5074 N 84TH ST,MKE","5074 N 84TH ST, MILWAUKEE, WI","{'lat': 43.110246, 'lng': -88.015474}"
"2708 N 37TH ST,MKE","2708 N 37TH ST, MILWAUKEE, WI","{'lat': 43.068172, 'lng': -87.959377}"
"E RESERVOIR AV / N HUBBARD ST,MKE","E RESERVOIR AVE & N HUBBARD ST, MILWAUKEE, WI","{'lat': 43.055135, 'lng': -87.908405}"
"2850 N 34TH ST,MKE","2850 N 34TH ST, MILWAUKEE, WI","{'lat': 43.070824, 'lng': -87.955799}"
"2740 N 86TH ST,MKE","2740 N 86TH ST, MILWAUKEE, WI","{'lat': 43.068884, 'lng': -88.01959}"
"2528 N 18TH ST,MKE","2528 N 18TH ST, MILWAUKEE, WI","{'lat': 43.064766, 'lng': -87.934626}"
"2460 W KILBOURN AV,MKE","2460 W KILBOURN AV, MILWAUKEE, WI","{'lat': 43.041807, 'lng': -87.944645}"
"1939 N WARREN AV,MKE","1939 N WARREN AV, MILWAUKEE, WI","{'lat': 43.056653, 'lng': -87.893811}"
"N 60TH ST / W BIRCH AV,MKE","N 60TH ST & W BIRCH AV, MILWAUKEE, WI","{'lat': 43.115969, 'lng': -87.986156}"
"W CAPITOL DR / W FOND DU LAC AV,MKE","W CAPITOL DR & W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.089871, 'lng': -87.976432}"
"3800 W FLORIST AV,MKE","3800 W FLORIST AV, MILWAUKEE, WI","{'lat': 43.126415, 'lng': -87.959729}"
"6000 W CARMEN AV,MKE","6000 W CARMEN AV, MILWAUKEE, WI","{'lat': 43.122798, 'lng': -87.986223}"
"2200 W BURLEIGH ST,MKE","2200 W BURLEIGH ST, MILWAUKEE, WI","{'lat': 43.076004, 'lng': -87.939865}"
"3527 S 14TH ST,MKE","3527 S 14TH ST, MILWAUKEE, WI","{'lat': 42.98058, 'lng': -87.930469}"
"4750 N 30TH ST,MKE","4750 N 30TH ST, MILWAUKEE, WI","{'lat': 43.103602, 'lng': -87.949899}"
"2511 N 23RD ST,MKE","2511 N 23RD ST, MILWAUKEE, WI","{'lat': 43.064487, 'lng': -87.941548}"
"5068 N 47TH ST,MKE","5068 N 47TH ST, MILWAUKEE, WI","{'lat': 43.109814, 'lng': -87.970965}"
"1631 N 38TH ST,MKE","1631 N 38TH ST, MILWAUKEE, WI","{'lat': 43.052217, 'lng': -87.961781}"
"1150 N ALOIS ST,MKE","1150 N ALOIS ST, MILWAUKEE, WI","{'lat': 43.045129, 'lng': -87.974213}"
"N 65TH ST / W CARMEN AV,MKE","N 65TH ST & W CARMEN AV, MILWAUKEE, WI","{'lat': 43.123066, 'lng': -87.992272}"
"N 36TH ST / W KEEFE AV,MKE","N 36TH ST & W KEEFE AV, MILWAUKEE, WI","{'lat': 43.08252, 'lng': -87.95848}"
"5826 N 69TH ST,MKE","5826 N 69TH ST, MILWAUKEE, WI","{'lat': 43.123786, 'lng': -87.9968}"
"N 24TH ST / W CHAMBERS ST,MKE","N 24TH ST & W CHAMBERS ST, MILWAUKEE, WI","{'lat': 43.073326, 'lng': -87.942363}"
"N 20TH ST / W HADLEY ST,MKE","N 20TH ST & W HADLEY ST, MILWAUKEE, WI","{'lat': 43.069625, 'lng': -87.937451}"
"N SHERMAN BL / W CHAMBERS ST,MKE","N SHERMAN BL & W CHAMBERS ST, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"520 N 20TH ST,MKE","520 N 20TH ST, MILWAUKEE, WI","{'lat': 43.036764, 'lng': -87.937453}"
"2930 W CAPITOL DR,MKE","2930 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090282, 'lng': -87.950424}"
"N 25TH ST / W HIGHLAND AV,MKE","N 25TH ST & W HIGHLAND AV, MILWAUKEE, WI","{'lat': 43.044342, 'lng': -87.944919}"
"N MARTIN L KING JR DR / W CENTER ST,MKE","N DOCTOR M.L.K. DR & W CENTER ST, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"E BRADY ST / N CASS ST,MKE","E BRADY ST & N CASS ST, MILWAUKEE, WI","{'lat': 43.052979, 'lng': -87.902231}"
"2612 W BURLEIGH ST,MKE","2612 W BURLEIGH ST, MILWAUKEE, WI","{'lat': 43.075434, 'lng': -87.946465}"
"2801 N 20TH ST,MKE","2801 N 20TH ST, MILWAUKEE, WI","{'lat': 43.06974, 'lng': -87.937719}"
"9300 W CHESTER ST,MKE","9300 W CHESTER ST, MILWAUKEE, WI","{'lat': 43.028605, 'lng': -88.02845}"
"624 W WISCONSIN AV,MKE","624 W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.039122, 'lng': -87.919498}"
"2931 N 21ST ST,MKE","2931 N 21ST ST, MILWAUKEE, WI","{'lat': 43.07215, 'lng': -87.938933}"
"2506 N BUFFUM ST,MKE","2506 N BUFFUM ST, MILWAUKEE, WI","{'lat': 43.06411, 'lng': -87.906137}"
"3101 W HAMPTON AV,MKE","3101 W HAMPTAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"N COMMERCE ST / E DOCK ST,MKE","N COMMERCE ST & E DOCK ST, MILWAUKEE, WI","{'lat': 43.056309, 'lng': -87.903592}"
"7204 W MILL RD,MKE","7204 W MILL RD, MILWAUKEE, WI","{'lat': 43.134406, 'lng': -88.000831}"
"10425 W MILL RD,MKE","10425 W MILL RD, MILWAUKEE, WI","{'lat': 43.133573, 'lng': -88.042319}"
"2323 W WISCONSIN AV,MKE","2323 W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038248, 'lng': -87.942275}"
"3911 N 21ST ST,MKE","3911 N 21ST ST, MILWAUKEE, WI","{'lat': 43.08811, 'lng': -87.938602}"
"4401 W KILEY AV,MKE","4401 W KILEY AV, MILWAUKEE, WI","{'lat': 43.144345, 'lng': -87.967604}"
"N 68TH ST / W BIRCH AV,MKE","N 68TH ST & W BIRCH AV, MILWAUKEE, WI","{'lat': 43.118341, 'lng': -87.99605}"
"114 W WISCONSIN AV,MKE","114 W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.039095, 'lng': -87.910936}"
"9300-BLOCK W CLOVERNOOK ST,MKE","9300- W CLOVERNOOK ST, MILWAUKEE, WI","{'lat': 43.13564, 'lng': -88.027037}"
"N 16TH ST / W MEINECKE AV,MKE","N 16TH ST & W MEINECKE AV, MILWAUKEE, WI","{'lat': 43.062244, 'lng': -87.93264}"
"3119 W WALNUT ST,MKE","3119 W WALNUT ST, MILWAUKEE, WI","{'lat': 43.052578, 'lng': -87.953477}"
"N 42ND ST / W FLORIST AV,MKE","N 42ND ST & W FLORIST AV, MILWAUKEE, WI","{'lat': 43.126608, 'lng': -87.96461}"
"812 N JACKSON ST,MKE","812 N JACKSST, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"7527 N GRANVILLE RD,MKE","7527 N GRANVILLE RD, MILWAUKEE, WI","{'lat': 43.154227, 'lng': -88.028772}"
"3800 W SHERIDAN AV,MKE","3800 W SHERIDAN AV, MILWAUKEE, WI","{'lat': 43.117677, 'lng': -87.960119}"
"3368 N PALMER ST,MKE","3368 N PALMER ST, MILWAUKEE, WI","{'lat': 43.079867, 'lng': -87.908904}"
"N 11TH ST / W NORTH AV,MKE","N 11TH ST & W NORTH AV, MILWAUKEE, WI","{'lat': 43.059185, 'lng': -87.925534}"
"2957 N 55TH ST,MKE","2957 N 55TH ST, MILWAUKEE, WI","{'lat': 43.072863, 'lng': -87.982289}"
"S 9TH ST / W DAKOTA ST,MKE","S 9TH ST & W DAKOTA ST, MILWAUKEE, WI","{'lat': 42.991948, 'lng': -87.922642}"
"4073 N 39TH ST,MKE","4073 N 39TH ST, MILWAUKEE, WI","{'lat': 43.091489, 'lng': -87.962281}"
"2342 W BECHER ST,MKE","2342 W BECHER ST, MILWAUKEE, WI","{'lat': 43.006932, 'lng': -87.942933}"
"10950 W GOOD HOPE RD,MKE","10950 W GOOD HOPE RD, MILWAUKEE, WI","{'lat': 43.149047, 'lng': -88.048853}"
"6000 W BRADLEY RD,BD","6000 W BRADLEY RD,BD, MILWAUKEE, WI","{'lat': 43.162939, 'lng': -87.984832}"
"5457 N 36TH ST,MKE","5457 N 36TH ST, MILWAUKEE, WI","{'lat': 43.116828, 'lng': -87.957813}"
"1831 W CLEVELAND AV,MKE","1831 W CLEVELAND AV, MILWAUKEE, WI","{'lat': 42.995454, 'lng': -87.936731}"
"3348 N 24TH ST,MKE","3348 N 24TH ST, MILWAUKEE, WI","{'lat': 43.080058, 'lng': -87.941813}"
"6114 W CAPITOL DR,MKE","6114 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090285, 'lng': -87.988755}"
"7448 W BECKETT AV,MKE","7448 W BECKETT AV, MILWAUKEE, WI","{'lat': 43.092811, 'lng': -88.004466}"
"E RUSSELL AV / S LOGAN AV,MKE","E RUSSELL AVE & S LOGAN AV, MILWAUKEE, WI","{'lat': 42.995629, 'lng': -87.896788}"
"9127 W JOLENO LA,MKE","9127 W JOLENO LA, MILWAUKEE, WI","{'lat': 43.183208, 'lng': -88.025065}"
"1335 N 21ST ST,MKE","1335 N 21ST ST, MILWAUKEE, WI","{'lat': 43.048077, 'lng': -87.939279}"
"933 N MARSHALL ST,MKE","933 N MARSHALL ST, MILWAUKEE, WI","{'lat': 43.043583, 'lng': -87.901082}"
"N 38TH ST / W WRIGHT ST,MKE","N 38TH ST & W WRIGHT ST, MILWAUKEE, WI","{'lat': 43.064254, 'lng': -87.961051}"
"820 E CONCORDIA AV,MKE","820 E CONCORDIA AV, MILWAUKEE, WI","{'lat': 43.07852, 'lng': -87.901133}"
"430 W NORTH AV,MKE","430 W NORTH AV, MILWAUKEE, WI","{'lat': 43.060555, 'lng': -87.916585}"
"N 19TH ST / W NORTH AV,MKE","N 19TH ST & W NORTH AV, MILWAUKEE, WI","{'lat': 43.05898, 'lng': -87.936756}"
"2362 N STANLEY PL,MKE","2362 N STANLEY PL, MILWAUKEE, WI","{'lat': 43.061353, 'lng': -87.895593}"
"6651 N 55TH ST,MKE","6651 N 55TH ST, MILWAUKEE, WI","{'lat': 43.138774, 'lng': -87.980988}"
"S 15TH ST / W BECHER ST,MKE","S 15TH ST & W BECHER ST, MILWAUKEE, WI","{'lat': 43.006512, 'lng': -87.931055}"
"742 W CAPITOL DR,MKE","742 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.089818, 'lng': -87.920407}"
"N 70TH ST / W CONGRESS ST,MKE","N 70TH ST & W CONGRESS ST, MILWAUKEE, WI","{'lat': 43.097245, 'lng': -87.999449}"
"N 41ST ST / W WRIGHT ST,MKE","N 41ST ST & W WRIGHT ST, MILWAUKEE, WI","{'lat': 43.064256, 'lng': -87.96459}"
"2845 N 24TH PL,MKE","2845 N 24TH PL, MILWAUKEE, WI","{'lat': 43.070723, 'lng': -87.943906}"
"2809 N BOOTH ST,MKE","2809 N BOOTH ST, MILWAUKEE, WI","{'lat': 43.069583, 'lng': -87.904333}"
"10700 W GOOD HOPE RD,MKE","10700 W GOOD HOPE RD, MILWAUKEE, WI","{'lat': 43.148245, 'lng': -88.045105}"
"822 E CHAMBERS ST,MKE","822 E CHAMBERS ST, MILWAUKEE, WI","{'lat': 43.073066, 'lng': -87.900703}"
"7723 N 99TH ST,MKE","7723 N 99TH ST, MILWAUKEE, WI","{'lat': 43.158418, 'lng': -88.034361}"
"323 E WISCONSIN AV,MKE","323 E WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038146, 'lng': -87.906775}"
"N 15TH ST / W KEEFE AV,MKE","N 15TH ST & W KEEFE AV, MILWAUKEE, WI","{'lat': 43.081717, 'lng': -87.929766}"
"N 35TH ST / W WISCONSIN AV,MKE","N 35TH ST & W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038766, 'lng': -87.957697}"
"5930 N 78TH ST,MKE","5930 N 78TH ST, MILWAUKEE, WI","{'lat': 43.125881, 'lng': -88.007761}"
"3120 W LLOYD ST,MKE","3120 W LLOYD ST, MILWAUKEE, WI","{'lat': 43.05812, 'lng': -87.953138}"
"2231 N TEUTONIA AV,MKE","2231 N TEUTONIA AV, MILWAUKEE, WI","{'lat': 43.059408, 'lng': -87.927801}"
"740 E LINUS ST,MKE","740 E LINUS ST, MILWAUKEE, WI","{'lat': 43.002138, 'lng': -87.899562}"
"3283 N 49TH ST,MKE","3283 N 49TH ST, MILWAUKEE, WI","{'lat': 43.078816, 'lng': -87.975054}"
"2815 N 57TH ST,MKE","2815 N 57TH ST, MILWAUKEE, WI","{'lat': 43.070207, 'lng': -87.98444}"
"2576 N 21ST ST,MKE","2576 N 21ST ST, MILWAUKEE, WI","{'lat': 43.065833, 'lng': -87.938386}"
"8150 W LISBON AV,MKE","8150 W LISBAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"N 12TH LA / W FOND DU LAC AV,MKE","N 12TH LA & W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.05261, 'lng': -87.927084}"
"2737 N 56TH ST,MKE","2737 N 56TH ST, MILWAUKEE, WI","{'lat': 43.068861, 'lng': -87.983519}"
"1801 W COLLEGE AV,MKE","1801 W COLLEGE AV, MILWAUKEE, WI","{'lat': 42.930134, 'lng': -87.935708}"
"2200 N 35TH ST,MKE","2200 N 35TH ST, MILWAUKEE, WI","{'lat': 43.059094, 'lng': -87.957537}"
"8140 W BENDER AV,MKE","8140 W BENDER AV, MILWAUKEE, WI","{'lat': 43.132554, 'lng': -88.012956}"
"2373 S KINNICKINNIC AV,MKE","2373 S KINNICKINNIC AV, MILWAUKEE, WI","{'lat': 43.001349, 'lng': -87.903263}"
"3169 N SHERMAN BL,MKE","3169 N SHERMAN BL, MILWAUKEE, WI","{'lat': 43.076704, 'lng': -87.967725}"
"5665 S 13TH ST,MKE","5665 S 13TH ST, MILWAUKEE, WI","{'lat': 42.941742, 'lng': -87.929769}"
"3203 S 43RD ST,MKE","3203 S 43RD ST, MILWAUKEE, WI","{'lat': 42.986256, 'lng': -87.968274}"
"8131 W CONGRESS ST,MKE","8131 W CONGRESS ST, MILWAUKEE, WI","{'lat': 43.096822, 'lng': -88.014489}"
"6800 W BROWN DEER RD,MKE","6800 W BROWN DEER RD, MILWAUKEE, WI","{'lat': 43.178537, 'lng': -87.995076}"
"1841 N 12TH ST,MKE","1841 N 12TH ST, MILWAUKEE, WI","{'lat': 43.054816, 'lng': -87.927357}"
"N 11TH ST / W ATKINSON AV,MKE","N 11TH ST & W ATKINSAV, MILWAUKEE, WI","{'lat': 43.084498, 'lng': -87.924764}"
"2969 N 55TH ST,MKE","2969 N 55TH ST, MILWAUKEE, WI","{'lat': 43.072933, 'lng': -87.982214}"
"N 45TH ST / W HAMPTON AV,MKE","N 45TH ST & W HAMPTAV, MILWAUKEE, WI","{'lat': 43.081127, 'lng': -87.969906}"
"4200 W FOREST HOME AV,MKE","4200 W FOREST HOME AV, MILWAUKEE, WI","{'lat': 42.989692, 'lng': -87.967189}"
"N 12TH ST / W WISCONSIN AV,MKE","N 12TH ST & W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038652, 'lng': -87.92721}"
"3042 N 47TH ST,MKE","3042 N 47TH ST, MILWAUKEE, WI","{'lat': 43.074368, 'lng': -87.97188}"
"3915 N SHERMAN BL,MKE","3915 N SHERMAN BL, MILWAUKEE, WI","{'lat': 43.08825, 'lng': -87.967494}"
"4307 N 47TH ST,MKE","4307 N 47TH ST, MILWAUKEE, WI","{'lat': 43.095521, 'lng': -87.972391}"
"6508 N 52ND ST,MKE","6508 N 52ND ST, MILWAUKEE, WI","{'lat': 43.136084, 'lng': -87.976635}"
"2566 N BOOTH ST,MKE","2566 N BOOTH ST, MILWAUKEE, WI","{'lat': 43.065327, 'lng': -87.903633}"
"2150 N 60TH ST,MKE","2150 N 60TH ST, MILWAUKEE, WI","{'lat': 43.058008, 'lng': -87.987402}"
"3740 N 13TH ST,MKE","3740 N 13TH ST, MILWAUKEE, WI","{'lat': 43.085553, 'lng': -87.927048}"
600 S WATER ST,"600 S WATER ST, MILWAUKEE, WI","{'lat': 43.024979, 'lng': -87.90409}"
"6226 W BOBOLINK AV,MKE","6226 W BOBOLINK AV, MILWAUKEE, WI","{'lat': 43.125057, 'lng': -87.988789}"
"3833 N 24TH ST,MKE","3833 N 24TH ST, MILWAUKEE, WI","{'lat': 43.086843, 'lng': -87.942419}"
"2828 N 24TH ST,MKE","2828 N 24TH ST, MILWAUKEE, WI","{'lat': 43.070195, 'lng': -87.942267}"
"3718 W GARFIELD AV,MKE","3718 W GARFIELD AV, MILWAUKEE, WI","{'lat': 43.059432, 'lng': -87.960584}"
"N HOLTON ST / E NORTH AV,MKE","N HOLTST & E NORTH AV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"935 W NASH ST,MKE","935 W NASH ST, MILWAUKEE, WI","{'lat': 43.084275, 'lng': -87.922675}"
"5438 W NOTRE DAME CT,MKE","5438 W NOTRE DAME CT, MILWAUKEE, WI","{'lat': 43.04527, 'lng': -87.98219}"
"805 E KEEFE AV,MKE","805 E KEEFE AV, MILWAUKEE, WI","{'lat': 43.081735, 'lng': -87.900933}"
"7600 W BROWN DEER RD,MKE","7600 W BROWN DEER RD, MILWAUKEE, WI","{'lat': 43.177604, 'lng': -88.002494}"
"8651 W CROSSFIELD AV,MKE","8651 W CROSSFIELD AV, MILWAUKEE, WI","{'lat': 43.132056, 'lng': -88.019805}"
"3302 W GALENA ST,MKE","3302 W GALENA ST, MILWAUKEE, WI","{'lat': 43.051639, 'lng': -87.955377}"
"920 N 37TH ST,MKE","920 N 37TH ST, MILWAUKEE, WI","{'lat': 43.042116, 'lng': -87.959136}"
"N BROADWAY / E MICHIGAN ST,MKE","N BROADWAY & E MICHIGAN ST, MILWAUKEE, WI","{'lat': 43.03743, 'lng': -87.90768}"
"8600 W MILL RD,MKE","8600 W MILL RD, MILWAUKEE, WI","{'lat': 43.134241, 'lng': -88.017774}"
"2443 S LOGAN AV,MKE","2443 S LOGAN AV, MILWAUKEE, WI","{'lat': 42.999646, 'lng': -87.896942}"
"2131 S 17TH ST,MKE","2131 S 17TH ST, MILWAUKEE, WI","{'lat': 43.005821, 'lng': -87.934637}"
"6421 N 105TH ST,MKE","6421 N 105TH ST, MILWAUKEE, WI","{'lat': 43.134629, 'lng': -88.043037}"
"2482 S 11TH ST,MKE","2482 S 11TH ST, MILWAUKEE, WI","{'lat': 42.999475, 'lng': -87.925681}"
"N 26TH ST / W TOWNSEND ST,MKE","N 26TH ST & W TOWNSEND ST, MILWAUKEE, WI","{'lat': 43.082537, 'lng': -87.945897}"
"2969 S 7TH ST,MKE","2969 S 7TH ST, MILWAUKEE, WI","{'lat': 42.990423, 'lng': -87.920523}"
"1802 W CHAMBERS ST,MKE","1802 W CHAMBERS ST, MILWAUKEE, WI","{'lat': 43.073376, 'lng': -87.935595}"
"2020 E PARK PL,MKE","2020 E PARK PL, MILWAUKEE, WI","{'lat': 43.067617, 'lng': -87.884639}"
"5618 N 60TH ST,MKE","5618 N 60TH ST, MILWAUKEE, WI","{'lat': 43.119883, 'lng': -87.985628}"
"N 18TH ST / W KEEFE AV,MKE","N 18TH ST & W KEEFE AV, MILWAUKEE, WI","{'lat': 43.081789, 'lng': -87.933428}"
"4072 N 40TH ST,MKE","4072 N 40TH ST, MILWAUKEE, WI","{'lat': 43.091487, 'lng': -87.962693}"
"4346 N 64TH ST,MKE","4346 N 64TH ST, MILWAUKEE, WI","{'lat': 43.096479, 'lng': -87.991476}"
"6814 W CAPITOL DR,MKE","6814 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090094, 'lng': -87.997193}"
"5812 N 40TH ST,MKE","5812 N 40TH ST, MILWAUKEE, WI","{'lat': 43.123257, 'lng': -87.961767}"
"1560 W LAYTON AV,MKE","1560 W LAYTAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2412 N 11TH ST,MKE","2412 N 11TH ST, MILWAUKEE, WI","{'lat': 43.062494, 'lng': -87.925007}"
"5323 W HAMPTON AV,MKE","5323 W HAMPTAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2559 N 38TH ST,MKE","2559 N 38TH ST, MILWAUKEE, WI","{'lat': 43.065558, 'lng': -87.961279}"
"N 34TH ST / W ST PAUL AV,MKE","N 34TH ST & W ST PAUL AV, MILWAUKEE, WI","{'lat': 43.034784, 'lng': -87.956502}"
"4461 N 75TH ST,MKE","4461 N 75TH ST, MILWAUKEE, WI","{'lat': 43.098582, 'lng': -88.005932}"
"S LOGAN AV / E POTTER AV,MKE","S LOGAN AVE & E POTTER AV, MILWAUKEE, WI","{'lat': 42.99714, 'lng': -87.896821}"
"3241 N 40TH ST,MKE","3241 N 40TH ST, MILWAUKEE, WI","{'lat': 43.077867, 'lng': -87.963364}"
"1600 W MEINECKE AV,MKE","1600 W MEINECKE AV, MILWAUKEE, WI","{'lat': 43.062094, 'lng': -87.93264}"
"2581 W VIENNA AV,MKE","2581 W VIENNA AV, MILWAUKEE, WI","{'lat': 43.086029, 'lng': -87.945637}"
LAKE MICHIGAN,"LAKE MICHIGAN, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"S 22ND ST / W SUNBURY CT,MKE","S 22ND ST & W SUNBURY CT, MILWAUKEE, WI","{'lat': 42.983952, 'lng': -87.94222}"
"2861 S 71ST ST,MKE","2861 S 71ST ST, MILWAUKEE, WI","{'lat': 42.992404, 'lng': -88.001659}"
"N 27TH ST / W BROWN ST,MKE","N 27TH ST & W BROWN ST, MILWAUKEE, WI","{'lat': 43.056377, 'lng': -87.947572}"
"180 N BROADWAY,MKE","180 N BROADWAY, MILWAUKEE, WI","{'lat': 43.032306, 'lng': -87.906593}"
"S 11TH ST / W BRUCE ST,MKE","S 11TH ST & W BRUCE ST, MILWAUKEE, WI","{'lat': 43.025329, 'lng': -87.925332}"
"1533 S UNION ST,MKE","1533 S UNIST, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"4355 N 104TH ST,MKE","4355 N 104TH ST, MILWAUKEE, WI","{'lat': 43.097322, 'lng': -88.041838}"
"4535 N 26TH ST,MKE","4535 N 26TH ST, MILWAUKEE, WI","{'lat': 43.099726, 'lng': -87.94579}"
"5070 N 60TH ST,MKE","5070 N 60TH ST, MILWAUKEE, WI","{'lat': 43.109992, 'lng': -87.985747}"
"5327 W WASHINGTON BL,MKE","5327 W WASHINGTBL, MILWAUKEE, WI","{'lat': 43.052392, 'lng': -87.980459}"
"2320 S 19TH ST,MKE","2320 S 19TH ST, MILWAUKEE, WI","{'lat': 43.002478, 'lng': -87.936671}"
"1023 S 36TH ST,MKE","1023 S 36TH ST, MILWAUKEE, WI","{'lat': 43.020032, 'lng': -87.95913}"
"N 9TH ST / W JUNEAU AV,MKE","N 9TH ST & W JUNEAU AV, MILWAUKEE, WI","{'lat': 43.043072, 'lng': -87.923023}"
"N 64TH ST / W VILLARD AV,MKE","N 64TH ST & W VILLARD AV, MILWAUKEE, WI","{'lat': 43.112096, 'lng': -87.991174}"
"7600 W GOOD HOPE RD,MKE","7600 W GOOD HOPE RD, MILWAUKEE, WI","{'lat': 43.149141, 'lng': -88.005759}"
"4024 W GREEN TREE RD,MKE","4024 W GREEN TREE RD, MILWAUKEE, WI","{'lat': 43.141559, 'lng': -87.961605}"
"2846 N 11TH ST,MKE","2846 N 11TH ST, MILWAUKEE, WI","{'lat': 43.07048, 'lng': -87.924903}"
"5640 W NORTH AV,MKE","5640 W NORTH AV, MILWAUKEE, WI","{'lat': 43.060833, 'lng': -87.983454}"
"2616 W GARFIELD AV,MKE","2616 W GARFIELD AV, MILWAUKEE, WI","{'lat': 43.059649, 'lng': -87.946823}"
